order,partitions,RMSE,MAE,MAPE
1,7,10285.132387334641,6584.266666666666,1056.4018538995465
1,9,10328.797736871293,5853.035802469135,701.9092743312931
2,7,10893.425020443177,6725.14879385965,1056.2610412352233
1,15,10952.547314194462,4827.108703703703,206.87641949541066
1,5,11067.586228164624,8563.817222222222,1706.286029112645
1,13,11129.186670208437,5456.626282051282,321.2333195303754
1,11,11268.136069129408,5287.938486842105,471.32521844433944
2,9,12561.858761057716,7139.168977420402,704.7613465029756
3,7,12986.776089979146,8021.288048245614,1057.4992046171935
2,11,13838.822983062884,6627.22576754386,474.49743016380353
4,11,14387.084655182422,7091.726535087718,470.72383166626776
3,11,14388.650715631235,7105.206688596491,474.3620806307174
5,11,14395.452832024133,7144.774561403508,471.5539621047998
2,5,14487.821107356489,9809.627280701754,1706.9529403134948
2,15,14698.773421748816,6698.592894736841,213.0650857801339
4,7,14776.539060575682,8837.084868421052,1051.418087440261
3,15,14787.115289943626,6991.757397660817,215.98678093709208
4,15,14853.368469603545,7076.421286549707,215.14184147952363
5,15,14858.113145138079,7133.405021929823,219.20285054130613
5,13,14886.74025838849,7454.865612348178,320.732862235225
4,13,14899.151811279988,7510.186175775979,322.4470052090549
3,13,14911.140779421843,7562.395175438597,325.5754776609388
5,7,15012.269289358774,9057.268201754385,1046.2557941594293
5,9,15041.32294034067,8445.215423976608,691.2017972637906
4,9,15051.876870954762,8524.66924951267,700.0364705686954
2,13,15059.722657818249,7743.092535425102,328.5273157630769
3,9,15077.026801027827,8652.251133040934,705.3109291877823
5,5,15457.771383643421,10477.858201754385,1692.4523312729928
3,5,15473.870068770007,10609.60774122807,1706.7492433875668
4,5,15496.822651941722,10589.764868421053,1700.2715942630066
