order,partitions,RMSE,MAE,MAPE
1,11,405.0039894636611,337.50555555555536,254.66135660792574
1,15,420.0300680066006,291.07777777777767,114.5530345673983
1,13,445.7277076128109,329.0801282051279,171.52121199191097
1,9,518.6194964506882,451.82222222222214,379.13960488830423
1,7,664.551450227896,598.4666666666664,577.8347244167666
2,7,873.3117331934416,731.9999999999997,584.1484502543013
2,9,919.6562535711429,681.7666666666665,386.7160413520081
3,7,1023.1286164668314,860.8374999999997,586.3513130558534
2,13,1023.6582607167919,598.8365384615382,179.59369275328638
2,5,1024.832704981647,940.7433333333332,945.5260168047504
1,5,1026.3169134336624,944.1283333333331,945.9159937632757
2,11,1037.2686272128353,641.4916666666666,262.9097239775049
2,15,1053.3534988611198,585.2127777777778,124.92988556818676
3,9,1132.220779485142,818.6638888888889,390.5944532712303
4,7,1301.5282504297272,982.3249999999998,587.1750477709357
3,15,1320.7419186087684,784.8133333333335,133.76482153955163
3,13,1323.1628838019174,811.3012820512819,186.1064043278148
3,11,1326.4358917791692,900.1999999999999,274.3087255217231
3,5,1344.6836966860767,1185.4966666666664,950.4882514743118
5,7,1347.5043599187352,1010.808333333333,584.2596451190623
4,15,1389.130711168359,836.6261111111112,138.0908922930787
5,15,1389.8057827011764,838.9499999999999,137.97931326795603
4,13,1398.3873357087484,873.3160256410256,187.0351892685595
4,9,1414.8477065960428,1004.4268518518519,395.31869293761247
4,11,1418.8587917172495,938.4875000000001,268.4049250978944
5,11,1419.220530490828,938.1041666666666,267.0214274680732
5,13,1420.967885628377,910.3169871794871,189.71829902641747
5,9,1444.8638824457814,1021.3143518518518,388.3484039694796
4,5,1552.8927340611779,1323.3825,952.2442158113322
5,5,1590.743985037609,1348.5616666666665,949.7419218828918
