order,partitions,RMSE,MAE,MAPE
1,7,9281.484321626403,7586.180803571428,10.714619978115175
2,7,9716.646349612203,8097.847767857143,11.30549461515358
1,11,10023.380595256114,7607.507812500001,9.256110844371769
1,15,10106.28600421813,7466.075833333333,8.441055627451636
1,13,10584.878938692602,7682.951282051283,8.532506876047918
1,9,11551.721615275432,9406.19363425926,11.852757072041104
1,5,13456.323111725753,11139.38104166667,16.784074755608668
2,5,13733.178617050784,11507.742500000006,17.494796376300155
3,5,14374.97569268561,12063.193125000005,18.061085045193334
2,11,18569.54932648119,9288.778344298245,9.818045527393592
4,5,18592.613192999874,13927.453355263162,19.441751479390483
3,7,22175.01286133553,13185.044486215536,14.855083887874725
2,13,22833.102069774603,11775.012917510125,11.054086743484042
5,5,23758.520015034625,16679.605054824566,21.24066927834848
2,9,24748.783326510562,12771.535032894739,12.904293456550178
3,9,31425.140803588252,18408.741465643277,18.39052632377863
2,15,32243.19625290366,16989.378062865497,14.997871745532004
3,11,33573.525323013186,18662.472587719298,16.734138172585155
4,7,33740.36444019333,20203.011802944864,19.643022352937127
5,7,36969.15998390876,23511.201292293234,22.330517161576662
4,11,37344.19198350897,22734.395778508773,19.99922247078555
3,15,37364.38954144311,21932.109517543857,18.843878981301554
3,13,37592.712736387846,22599.40060728745,19.16561603941183
4,15,38828.47318951377,23694.450800438597,20.58633926287529
4,13,38902.83746855998,24709.445213394065,21.270088125981893
4,9,39008.44742956091,25552.64629020468,26.23031547478129
5,11,39565.733190036684,24860.029166666664,21.326596381296103
5,13,39655.73426693657,24995.131047570856,21.046747494360684
5,15,39756.01298231287,25360.400789473686,22.760213775824585
5,9,40353.29877863817,27287.87529239766,27.885943966871757
